continent,country,region,city,name,pin_type,contrib_count,geo_id
Asia,Japan,Nara Prefecture,Nara,"Nara, Japan",been,0,
Asia,Japan,Osaka Prefecture,Osaka,"Osaka, Japan",been,0,
Europe,Croatia,,Krk,"Krk, Croatia",been,0,1067956
Europe,Croatia,,Njivice,"Njivice, Croatia",been,0,1067961
Europe,Croatia,,Plitvica,"Plitvica, Croatia",been,0,1190792
Europe,Croatia,,Zagreb,"Zagreb, Croatia",been,0,294454
Europe,Czech Republic,,Prague,"Prague, Czech Republic",fave,0,274707
Europe,France,,Aix-en-Provence,"Aix-en-Provence, France",been,0,187209
Europe,France,,Allevard,"Allevard, France",been,0,196691
Europe,France,,Arles,"Arles, France",been,0,187211
Europe,France,,Avignon,"Avignon, France",been,0,187212
Europe,France,,Bastia,"Bastia, France",been,0,187141
Europe,France,,Bonifacio,"Bonifacio, France",been,0,612416
Europe,France,,Calvi,"Calvi, France",been,0,196482
Europe,France,,Carcassonne Center,"Carcassonne Center, France",been,0,187151
Europe,France,,Corte,"Corte, France",been,0,635788
Europe,France,,Grenoble,"Grenoble, France",been,0,187264
Europe,France,,Ile Rousse,"Ile Rousse, France",been,0,635566
Europe,France,,Lumio,"Lumio, France",been,0,776031
Europe,France,,Nice,"Nice, France",been,0,187234
Europe,France,,Paris,"Paris, France",fave,0,187147
Europe,France,,Porto-Vecchio,"Porto-Vecchio, France",been,0,196484
Europe,Germany,,Berlin,"Berlin, Germany",fave,0,187323
Europe,Germany,,Hamburg,"Hamburg, Germany",been,0,187331
Europe,Germany,Baden-Wurttemberg,Freiburg im Breisgau,"Freiburg im Breisgau, Germany",been,0,
Europe,Germany,Baden-Wurttemberg,Stuttgart,"Stuttgart, Germany",been,0,
Europe,Germany,Bavaria,Ansbach,"Ansbach, Germany",been,0,
Europe,Germany,Bavaria,Coburg,"Coburg, Germany",been,0,
Europe,Germany,Bavaria,Lindau,"Lindau, Germany",been,0,
Europe,Germany,Bavaria,Munich,"Munich, Germany",fave,0,
Europe,Germany,Lower Saxony,Goettingen,"Goettingen, Germany",been,0,
Europe,Germany,Lower Saxony,Hildesheim,"Hildesheim, Germany",been,0,
Europe,Germany,Lower Saxony,Oldenburg,"Oldenburg, Germany",been,0,
