Continent	Country	City	# of Contributions
Europe	Portugal	Lisbon	1
Europe	Portugal	Sintra	1
Europe	Italy	Province of Agrigento: Agrigento	Been
Europe	France	Aix-en-Provence	Been
Europe	Italy	Province of Alessandria: Alessandria	Been
Europe	Italy	Province of Sassari: Alghero	Been
Europe	France	Allevard	Been
Europe	Switzerland	Andeer	Been
Europe	Italy	Angera	Been
Europe	Germany	Saxony: Annaberg-Buchholz	Been
Europe	Germany	Bavaria: Ansbach	Been
Europe	Italy	Province of Ogliastra: Arbatax	Been
Europe	Italy	Arenzano	Been
Europe	France	Arles	Been
Europe	Italy	Arona	Been
Europe	Switzerland	Ascona	Been
Europe	Greece	Athens	Been
Europe	France	Avignon	Been
Europe	Italy	Province of Syracuse: Avola	Been
Europe	Spain	Province of Barcelona: Barcelona	Fave
Europe	Italy	Province of Vicenza: Bassano Del Grappa	Been
Europe	France	Bastia	Been
Europe	Italy	Baveno	Been
Europe	Switzerland	Bellinzona	Been
Europe	Italy	Province of Bergamo: Bergamo	Been
Europe	Germany	Berlin	Fave
North America	United States	PA: Bethlehem	Been
Europe	Switzerland	Biasca	Been
Europe	Italy	Province of Biella: Biella	Been
Europe	Italy	Province of Bologna: Bologna	Been
Europe	France	Bonifacio	Been
Europe	Italy	Province of Novara: Borgomanero	Been
Europe	Italy	Province of Sondrio: Bormio	Been
Europe	Italy	Province of Oristano: Bosa	Been
Europe	Portugal	Braga	Been
Europe	Ireland	Province of Leinster: Bray	Been
Europe	Italy	Province of Varese: Brinzio	Been
Europe	Switzerland	Brunnen	Been
Europe	Italy	Province of Olbia-Tempio: Budoni	Been
South America	Argentina	Buenos Aires	Been
Europe	Italy	Province of Cagliari: Cagliari	Been
Europe	Italy	Province of Savona: Calizzano	Been
Europe	Italy	Province of Catania: Caltagirone	Been
Europe	France	Calvi	Been
Europe	Italy	Province of Como: Campione d'Italia	Been
Europe	Italy	Province of Olbia-Tempio: Cannigione	Been
Europe	France	Carcassonne Center	Been
Europe	Portugal	Cascais	Been
Europe	Italy	Province of Treviso: Castelfranco Veneto	Been
Europe	Italy	Province of Piacenza: Castell'Arquato	Been
Europe	Italy	Province of Sassari: Castelsardo	Been
Europe	Italy	Province of Mantua: Castiglione Delle Stiviere	Been
Europe	Italy	Province of Catania: Catania	Been
Europe	Greece	Chania Town	Been
Europe	Germany	Saxony: Chemnitz	Been
Europe	Greece	Chios	Been
Europe	Italy	Province of Milan: Cinisello Balsamo	Been
Europe	San Marino	City of San Marino	Been
Europe	Germany	Bavaria: Coburg	Been
Europe	Italy	Como	Been
Europe	France	Corte	Been
Europe	Italy	Province of Varese: Cuasso al Monte	Been
Europe	Italy	Deiva Marina	Been
Europe	Italy	Province of Verbano-Cusio-Ossola: Domodossola	Been
Europe	Italy	Province of Livorno: Donoratico	Been
Europe	Germany	Saxony: Dresden	Been
Europe	Ireland	Province of Leinster: Dublin	Been
Europe	Italy	Province of Trapani: Erice	Been
Europe	Spain	Es Pujols	Been
Europe	Italy	Province of Florence: Florence	Fave
Europe	Italy	Province of Grosseto: Follonica	Been
Europe	Germany	Baden-Wurttemberg: Freiburg im Breisgau	Been
Europe	Italy	Province of Varese: Gallarate	Been
Europe	Italy	Province of Caltanissetta: Gela	Been
Europe	Switzerland	Geneva	Been
Europe	Italy	Province of Ancona: Genga	Been
Europe	Italy	Genoa	Been
Europe	Germany	Saxony: Glauchau	Been
Europe	Germany	Lower Saxony: Goettingen	Been
Europe	France	Grenoble	Been
Europe	Italy	Province of Sondrio: Grosio	Been
Europe	Germany	Hamburg	Been
Europe	Germany	Saxony: Hartenstein	Been
Europe	Germany	Lower Saxony: Hildesheim	Been
Europe	Spain	Ibiza Town	Been
Europe	Greece	Igoumenitsa	Been
Europe	France	Ile Rousse	Been
Europe	Malta	Island of Gozo	Been
Europe	Croatia	Krk	Been
Europe	Spain	Province of Girona: L'Estartit	Been
Europe	Spain	La Savina	Been
Europe	Italy	Laigueglia	Been
Europe	Italy	Province of Ogliastra: Lanusei	Been
Europe	Italy	Province of Varese: Lavena Ponte Tresa	Been
Europe	Italy	Laveno-Mombello	Been
Europe	Italy	Province of Lecco: Lecco	Been
Europe	Greece	Lefkada	Been
Europe	Germany	Saxony: Leipzig	Been
Europe	Switzerland	Leukerbad	Been
Europe	Germany	Bavaria: Lindau	Been
Europe	Greece	Lipsi	Been
Europe	Italy	Province of Sondrio: Livigno	Been
Europe	Italy	Loano	Been
Europe	Switzerland	Locarno	Been
Europe	United Kingdom	London	Been
Europe	Switzerland	Lucerne	Been
Europe	Switzerland	Lugano	Been
Europe	Italy	Luino	Been
Europe	France	Lumio	Been
Europe	Italy	Province of Verbano-Cusio-Ossola: Macugnaga	Been
Europe	Italy	Province of Varese: Malnate	Been
Europe	Italy	Province of Ragusa: Marina di Ragusa	Been
Europe	Malta	Marsascala	Been
Europe	Malta	Marsaxlokk	Been
Europe	Malta	Mdina	Been
Europe	Malta	Mellieha	Been
Europe	Italy	Province of South Tyrol: Merano	Been
Europe	Italy	Province of Messina: Messina	Been
Europe	Italy	Milan	Been
Europe	Italy	Province of Ragusa: Modica	Been
Europe	Monaco	Monte-Carlo	Been
Europe	Italy	Province of Viterbo: Montefiascone	Been
Europe	Switzerland	Morcote	Been
Europe	Malta	Mosta	Been
Europe	Germany	Bavaria: Munich	Fave
Asia	Japan	Nara Prefecture: Nara	Been
North America	United States	NY: New York City	Been
Europe	France	Nice	Been
Europe	Italy	Province of Vibo Valentia: Nicotera	Been
Europe	Croatia	Njivice	Been
Europe	Italy	Province of Syracuse: Noto	Been
Europe	Italy	Province of Novara: Novara	Been
Europe	Italy	Province of Ancona: Numana	Been
Europe	Italy	Province of Nuoro: Nuoro	Been
Europe	Italy	Province of Olbia-Tempio: Olbia	Been
Europe	Germany	Lower Saxony: Oldenburg	Been
Europe	Italy	Province of Nuoro: Orgosolo	Been
Europe	Italy	Province of Oristano: Oristano	Been
Europe	Italy	Province of Nuoro: Orosei	Been
Asia	Japan	Osaka Prefecture: Osaka	Been
Europe	Italy	Province of Padua: Padua	Been
Europe	Spain	Palma de Mallorca	Been
Europe	France	Paris	Fave
Europe	Greece	Patras	Been
Europe	Italy	Province of Verona: Peschiera del Garda	Been
Europe	Italy	Province of Piacenza: Piacenza	Been
Europe	Italy	Province of Enna: Piazza Armerina	Been
Europe	Greece	Piraeus	Been
Europe	Croatia	Plitvica	Been
Europe	Switzerland	Ponte Tresa	Been
Europe	Italy	Province of Piacenza: Ponte dell'Olio	Been
Europe	Portugal	Porto	Been
Europe	Italy	Province of Varese: Porto Ceresio	Been
Europe	Italy	Province of Olbia-Tempio: Porto Cervo	Been
Europe	Italy	Province of Sassari: Porto Torres	Been
Europe	Italy	Porto Venere	Been
Europe	France	Porto-Vecchio	Been
Europe	Switzerland	Poschiavo	Been
Europe	Czech Republic	Prague	Fave
Europe	Italy	Province of Ragusa: Punta Braccetto	Been
Europe	Italy	Province of Ragusa: Punta Secca	Been
Europe	Italy	Province of Ragusa: Ragusa	Been
Europe	Italy	Rome	Fave
Europe	Italy	Province of Rovigo: Rovigo	Been
Europe	Malta	Saint Julian's	Been
Europe	Italy	Province of Olbia-Tempio: San Teodoro	Been
Europe	Italy	Province of Oristano: San Vero Milis	Been
Europe	Italy	Province of Livorno: San Vincenzo	Been
Europe	Germany	Lower Saxony: Sandstedt	Been
Europe	Italy	Sanremo	Been
Europe	Spain	Sant Ferran de ses Roques	Been
Europe	Spain	Sant Francesc de Formentera	Been
Europe	Italy	Province of Ragusa: Santa Croce Camerina	Been
Europe	Italy	Province of Pavia: Santa Maria della Versa	Been
Europe	Italy	Province of Olbia-Tempio: Santa Teresa Gallura	Been
Europe	Switzerland	Schwyz	Been
Europe	Italy	Province of Ragusa: Scoglitti	Been
Europe	Germany	Saxony: Seiffen	Been
Europe	Italy	Province of Milan: Sesto San Giovanni	Been
Europe	Italy	Province of Nuoro: Siniscola	Been
Europe	Italy	Province of Brescia: Sirmione	Been
Europe	Italy	Province of Ancona: Sirolo	Been
Europe	Greece	Skopelos	Been
Europe	Greece	Skyros	Been
Europe	Switzerland	St. Moritz	Been
Europe	Italy	Province of Sassari: Stintino	Been
Europe	Germany	Baden-Wurttemberg: Stuttgart	Been
Europe	Italy	Province of Syracuse: Syracuse	Been
Europe	Italy	Province of Olbia-Tempio: Tempio Pausania	Been
Europe	Italy	Province of Sondrio: Tirano	Been
Europe	Portugal	Tomar	Been
Europe	Italy	Province of Ogliastra: Tortoli	Been
Europe	Italy	Province of Trento: Trento	Been
Europe	Italy	Province of Treviso: Treviso	Been
Europe	Italy	Province of Trieste: Trieste	Been
Europe	Italy	Province of Turin: Turin	Been
Europe	Italy	Province of Sassari: Valledoria	Been
Europe	Malta	Valletta	Been
Europe	Italy	Varazze	Been
Europe	Italy	Province of Varese: Varese	Been
Europe	Vatican City	Vatican City	Been
Europe	Italy	Province of Venice: Venice	Been
Europe	Italy	Verbania	Been
Europe	Italy	Province of Verona: Verona	Been
Europe	Italy	Province of Rovigo: Villadose	Been
Europe	Italy	Province of Verona: Villafranca di Verona	Been
Europe	Italy	Province of Viterbo: Viterbo	Been
Europe	Italy	Province of Ragusa: Vittoria	Been
Europe	Germany	Schleswig-Holstein: Wacken	Been
Europe	Poland	Mazovia Province: Warsaw	Been
Europe	Croatia	Zagreb	Been
Europe	Germany	Saxony: Zwickau	Been 
